numero_processo,fluxo_identificado,resultado_trabalhador,primeira_instancia,segunda_instancia,tst_final,tem_historia_completa,total_movimentos
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,41
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,22
,,,,Negação de Seguimento,,False,28
,,,,Negação de Seguimento,,False,22
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,23
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,21
,,,,Provimento,,False,39
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,43
,,,,Negação de Seguimento,,False,23
,,,,Negação de Seguimento,,False,24
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,32
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,23
,,,,Negação de Seguimento,,False,19
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,11
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,,,,Provimento,,False,17
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,63
,,,,Negação de Seguimento,,False,10
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,37
,G2→TST,INDEFINIDO,,Provimento,Não-Provimento,False,62
,,,,Provimento,,False,28
,G2→TST,INDEFINIDO,,Provimento,Não-Provimento,False,47
,,,,Provimento,,False,28
,,,,Negação de Seguimento,,False,23
,G2→TST,INDEFINIDO,,Provimento,Não-Provimento,False,29
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,45
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Provimento,Recurso,False,77
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,44
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,29
,,,,Negação de Seguimento,,False,16
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,35
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,26
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,47
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,22
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,24
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,19
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,10
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,50
,,,,Negação de Seguimento,,False,23
,,,,Negação de Seguimento,,False,23
,,,,Provimento,,False,36
,,,,Negação de Seguimento,,False,23
,,,,Negação de Seguimento,,False,19
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,30
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,16
,,,,Negação de Seguimento,,False,45
,,,,Negação de Seguimento,,False,12
,,,,Provimento,,False,79
,,,,Provimento,,False,18
,,,,Negação de Seguimento,,False,31
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Negação de Seguimento,Recurso,False,56
,,,,Provimento,,False,26
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,23
,G2→TST,INDEFINIDO,,Provimento,Recurso,False,67
,,,,Provimento,,False,28
,,,,Provimento,,False,30
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,28
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,20
,,,,Negação de Seguimento,,False,34
,,,,Provimento,,False,74
,,,,Provimento,,False,29
,,,,Negação de Seguimento,,False,31
,,,,Negação de Seguimento,,False,23
,,,,Provimento,,False,30
,,,,Negação de Seguimento,,False,15
,,,,Negação de Seguimento,,False,24
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,67
,,,,Negação de Seguimento,,False,24
,,,,Negação de Seguimento,,False,41
,,,,Negação de Seguimento,,False,32
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,27
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,25
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,50
,,,,Negação de Seguimento,,False,21
,G2→TST,INDEFINIDO,,Provimento em Parte,Recurso,False,107
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,23
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,23
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,22
,,,,Negação de Seguimento,,False,23
,,,,Negação de Seguimento,,False,23
,,,,Negação de Seguimento,,False,23
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,32
,,,,Negação de Seguimento,,False,28
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,13
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,18
,,,,Negação de Seguimento,,False,33
,,,,Negação de Seguimento,,False,15
,,,,Negação de Seguimento,,False,13
,,,,Provimento,,False,24
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,34
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,19
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,11
,,,,Negação de Seguimento,,False,23
,,,,Negação de Seguimento,,False,11
,,,,Negação de Seguimento,,False,19
,,,,Provimento,,False,13
,,,,Provimento,,False,12
,,,,Provimento,,False,76
,,,,Provimento,,False,56
,,,,Negação de Seguimento,,False,23
,,,,Negação de Seguimento,,False,29
,,,,Negação de Seguimento,,False,43
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,39
,,,,Provimento,,False,28
,,,,Provimento,,False,56
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Provimento,Não-Provimento,False,50
,,,,Provimento,,False,17
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,14
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,21
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,13
,,,,Provimento,,False,31
,,,,Provimento,,False,12
,,,,Negação de Seguimento,,False,26
,,,,Negação de Seguimento,,False,10
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,62
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,11
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,36
,,,,Negação de Seguimento,,False,13
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,35
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,23
,,,,Negação de Seguimento,,False,13
,,,,Negação de Seguimento,,False,15
,,,,Negação de Seguimento,,False,42
,,,,Negação de Seguimento,,False,15
,,,,Negação de Seguimento,,False,25
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,14
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,33
,,,,Negação de Seguimento,,False,16
,,,,Negação de Seguimento,,False,13
,G2→TST,INDEFINIDO,,Provimento em Parte,Não-Provimento,False,73
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,35
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,42
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,11
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,23
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,14
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Provimento,Não-Provimento,False,50
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,25
,,,,Negação de Seguimento,,False,23
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,18
,,,,Negação de Seguimento,,False,11
,,,,Negação de Seguimento,,False,15
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,39
,G2→TST,INDEFINIDO,,Negação de Seguimento,Não-Provimento,False,24
,,,,Negação de Seguimento,,False,11
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,,,,Negação de Seguimento,,False,12
,G2→TST,INDEFINIDO,,Provimento,Não-Provimento,False,21
,,,,Provimento,,False,49
,,,,Negação de Seguimento,,False,21
,,,,Negação de Seguimento,,False,14
,,,,Negação de Seguimento,,False,11
,,,,Provimento,,False,26
,,,,Negação de Seguimento,,False,24
,,,,Negação de Seguimento,,False,21
